Name,Smiles,Property
hERG001,Oc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1,1
hERG002,CC(c1ccc(C(CCCN2CCC(C(c3ccccc3)(c4ccccc4)O)CC2)O)cc1)(C)C,1
hERG003,OC(Cc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1)=O,1
hERG004,COc1c(OC)cc(c2c1)c(N)nc(N3CCN(C(C4Oc(c5OC4)cccc5)=O)CC3)n2,1
hERG005,CC(NCCC(c1ccccc1)c2ccccc2)Cc3ccccc3,1
hERG006,COc1c(C(NC2CCN(Cc3ccccc3)CC2)=O)cc(Cl)c(N)c1,1
hERG007,OCCOCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1,1
hERG008,Clc1c(Cl)c(N2CCN(CCCCOc3cc(c4cc3)NC(=O)CC4)CC2)ccc1,1
hERG009,CN(CCC(Nc1nc(c2ccc(C)o2)nc(n3c(C)ccn3)c1)=O)C,1
hERG010,CN1CCN(CCCN(C(Nc2cc(C(F)(F)F)c(F)cc2)=O)C3C(C4C(c5cc(c6cc5)C(N)NO6)C3)C4)CC1,1
hERG011,CC(NN(c1cc(C)c(C)cc1)C2=O)=C2NN=C3C(=O)C(c4cc(C(O)=O)ccc4)=CC=C3,1
hERG012,COc1cc(c2cc1)c(C(C3N(CC(C=C)C4C3)CC4)O)ccn2,1
hERG013,Fc1ccc(n2c(c3c(C(CCN(CCN4C(=O)NCC4)C5)=C5)c2)ccc(Cl)c3)cc1,1
hERG014,NCCC(c1c(c2c(c3c1)cc(Cl)cc3Cl)ccc(C(F)(F)F)c2)O,1
hERG015,Cc1n(CC2C(=O)c3c(n(C)c(c34)cccc4)CC2)ccn1,1
hERG016,CNCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2,1
hERG017,CN(CCOC(c1c(C)cccc1)c2ccccc2)C,1
hERG018,CC(CN(C)C)CN1c(c2Sc(c13)cccc3)cc(C#N)cc2,1
hERG019,O=C1N(Cc2ccccc2)CCC1N(Cc3n(Cc4ccc(C#N)cc4)cnc3)Cc5cnccc5,1
hERG020,CN(CCC(c1ncccc1)c2ccc(Br)cc2)C,1
hERG021,FC1C(c2c(c3[nH]c2C(Nc4ccccc4)=O)ccc(F)c3)CNCC1,1
hERG022,COc1c(OC)cc(CNCC(COc2cc(c3cc2)C=CC(=O)N3)O)cc1,1
hERG023,CC1N(C(Nc2ccc(C(C)(C)C)cc2)=NC#N)CCN(c3c(F)cccn3)C1,1
hERG024,CC(c1ccc(NC(N2CCN(c3c(Cl)cccn3)CC2)=O)cc1)(C)C,1
hERG025,CN(CCCn1c(c2c(C(C(=O)NC3=O)=C3c4c(c5[nH]c4)cccc5)c1)cccc2)C,1
hERG026,COc1c(OC)c(C(C2CCN(CCc3ccc(F)cc3)CC2)O)ccc1,1
hERG027,OCCN1CCN(CCCN2c(c3Sc(c24)cccc4)cc(Cl)cc3)CC1,1
hERG028,O=C1NN=C(c2ccc(Nc3ccncc3)cc2)CC1,1
hERG029,CN1c(c2C(c3ccccc3)=NC(NC(Nc4cc(C)ccc4)=O)C1=O)cccc2,1
hERG030,COc1c(OC)cc(C(N2CCN(c3cc(c4cc3)CCC(=O)N4)CC2)=O)cc1,1
hERG031,FC1C(c2c(c3[nH]c2c4ccccc4)cccc3)CNCC1,1
hERG032,Clc1cc(CN2C(=O)C(N(Cc3n(Cc4ccc(C#N)cc4)cnc3)CCN5CCNCC5)CC2)ccc1,1
hERG033,CNCCCC1c(c2C=Cc(c13)cccc3)cccc2,1
hERG034,CC(c1ccccc1)(C2C=CC(C(c3cc(OC(F)F)c(OC(F)F)cc3)c4cc[n+]([O-])cc4)=CN2)O,1
hERG035,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(Cc4cscc4)CC3)C2)CC,1
hERG036,CCOC(C1C(N(C)C2CC1OC(c3ccccc3)=O)CC2)=O,1
hERG037,CC(N=C(N1C2=O)C(O)CCC1)=C2CCN3CCC(c4c(c5on4)ccc(F)c5)CC3,1
hERG038,Fc1ccc(C2C3(CCN(C4(c5ccc(F)cc5)CCCCC4)CC3)C(=O)NC2)cc1,1
hERG039,CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CCNCC4,1
hERG040,CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)CCCN,1
hERG041,COc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1,1
hERG042,Fc1ccc(c2c(C3CNCCC3)c(c4[nH]2)ccc(F)c4)cc1,1
hERG043,CNCCCN1c(c2CCc(c13)cccc3)cccc2,1
hERG044,CN1CCN(CCCCN2C(=O)N(N=Cc3ccc(c4ccc(Cl)cc4)o3)CC2=O)CC1,1
hERG045,O=C1C2(CCN(C3C(c4ccccc4)CCCC3)CC2)C(c5ccccc5)CN1,1
hERG046,FC1C(c2c(c3[nH]c2c4ccccc4)ccc(Cl)c3)CNCC1,1
hERG047,CN(CCCN1c(c2Sc(c13)cccc3)cc(Cl)cc2)C,1
hERG048,CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)CC,1
hERG049,CN1C(CCOC(c2ccc(Cl)cc2)(c3ccccc3)C)CCC1,1
