Name,Smiles,Property,Smiles_stand,logP,MW,rotB,HBA,HBD,nRING,TPSA
hERG001,Oc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1,1,Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.048300000000005,444.55400000000026,7.0,5.0,2.0,5.0,53.32
hERG002,CC(c1ccc(C(CCCN2CCC(C(c3ccccc3)(c4ccccc4)O)CC2)O)cc1)(C)C,1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,6.445800000000008,471.6850000000001,8.0,3.0,2.0,4.0,43.7
hERG003,OC(Cc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1)=O,1,O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,4.115600000000003,480.99600000000027,7.0,4.0,2.0,5.0,77.81
hERG004,COc1c(OC)cc(c2c1)c(N)nc(N3CCN(C(C4Oc(c5OC4)cccc5)=O)CC3)n2,1,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,1.7177999999999993,451.4830000000003,4.0,9.0,1.0,5.0,112.27000000000001
hERG005,CC(NCCC(c1ccccc1)c2ccccc2)Cc3ccccc3,1,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,5.4294000000000056,329.487,8.0,1.0,1.0,3.0,12.03
hERG006,COc1c(C(NC2CCN(Cc3ccccc3)CC2)=O)cc(Cl)c(N)c1,1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,3.3252000000000024,373.8840000000002,5.0,4.0,2.0,3.0,67.58999999999999
hERG007,OCCOCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1,1,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.055900000000001,374.91200000000015,8.0,4.0,1.0,3.0,35.940000000000005
hERG008,Clc1c(Cl)c(N2CCN(CCCCOc3cc(c4cc3)NC(=O)CC4)CC2)ccc1,1,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,4.859300000000005,448.39400000000006,7.0,4.0,1.0,4.0,44.81
hERG009,CN(CCC(Nc1nc(c2ccc(C)o2)nc(n3c(C)ccn3)c1)=O)C,1,Cc1ccc(-c2nc(NC(=O)CCN(C)C)cc(-n3nccc3C)n2)o1,2.4293400000000007,354.41400000000004,6.0,7.0,1.0,3.0,89.08
hERG010,CN1CCN(CCCN(C(Nc2cc(C(F)(F)F)c(F)cc2)=O)C3C(C4C(c5cc(c6cc5)C(N)NO6)C3)C4)CC1,1,CN1CCN(CCCN(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)C2CC(c3ccc4c(c3)C(N)NO4)C3CC32)CC1,4.362400000000003,576.639,7.0,6.0,3.0,6.0,86.10000000000001
hERG011,CC(NN(c1cc(C)c(C)cc1)C2=O)=C2NN=C3C(=O)C(c4cc(C(O)=O)ccc4)=CC=C3,1,Cc1ccc(-n2[nH]c(C)c(NN=C3C=CC=C(c4cccc(C(=O)O)c4)C3=O)c2=O)cc1C,3.779460000000002,442.47500000000025,5.0,6.0,3.0,4.0,116.54999999999998
hERG012,COc1cc(c2cc1)c(C(C3N(CC(C=C)C4C3)CC4)O)ccn2,1,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.1732000000000014,324.4240000000001,4.0,4.0,1.0,5.0,45.59
hERG013,Fc1ccc(n2c(c3c(C(CCN(CCN4C(=O)NCC4)C5)=C5)c2)ccc(Cl)c3)cc1,1,O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,4.537300000000004,438.93400000000025,5.0,3.0,1.0,5.0,40.510000000000005
hERG014,NCCC(c1c(c2c(c3c1)cc(Cl)cc3Cl)ccc(C(F)(F)F)c2)O,1,NCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,5.700800000000004,388.21600000000007,3.0,2.0,2.0,3.0,46.25
hERG015,Cc1n(CC2C(=O)c3c(n(C)c(c34)cccc4)CC2)ccn1,1,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,3.1285200000000017,293.37000000000006,2.0,4.0,0.0,4.0,39.82
hERG016,CNCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2,1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.435000000000003,309.33099999999996,6.0,2.0,1.0,2.0,21.259999999999998
hERG017,CN(CCOC(c1c(C)cccc1)c2ccccc2)C,1,Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.662620000000003,269.388,6.0,2.0,0.0,2.0,12.47
