Name,Smiles,Property,Smiles_stand
hERG001,Oc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1,1,Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
hERG002,CC(c1ccc(C(CCCN2CCC(C(c3ccccc3)(c4ccccc4)O)CC2)O)cc1)(C)C,1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
hERG003,OC(Cc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1)=O,1,O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1
hERG004,COc1c(OC)cc(c2c1)c(N)nc(N3CCN(C(C4Oc(c5OC4)cccc5)=O)CC3)n2,1,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
hERG005,CC(NCCC(c1ccccc1)c2ccccc2)Cc3ccccc3,1,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
hERG006,COc1c(C(NC2CCN(Cc3ccccc3)CC2)=O)cc(Cl)c(N)c1,1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
hERG007,OCCOCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1,1,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
hERG008,Clc1c(Cl)c(N2CCN(CCCCOc3cc(c4cc3)NC(=O)CC4)CC2)ccc1,1,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
hERG009,CN(CCC(Nc1nc(c2ccc(C)o2)nc(n3c(C)ccn3)c1)=O)C,1,Cc1ccc(-c2nc(NC(=O)CCN(C)C)cc(-n3nccc3C)n2)o1
hERG010,CN1CCN(CCCN(C(Nc2cc(C(F)(F)F)c(F)cc2)=O)C3C(C4C(c5cc(c6cc5)C(N)NO6)C3)C4)CC1,1,CN1CCN(CCCN(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)C2CC(c3ccc4c(c3)C(N)NO4)C3CC32)CC1
hERG011,CC(NN(c1cc(C)c(C)cc1)C2=O)=C2NN=C3C(=O)C(c4cc(C(O)=O)ccc4)=CC=C3,1,Cc1ccc(-n2[nH]c(C)c(NN=C3C=CC=C(c4cccc(C(=O)O)c4)C3=O)c2=O)cc1C
hERG012,COc1cc(c2cc1)c(C(C3N(CC(C=C)C4C3)CC4)O)ccn2,1,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
hERG013,Fc1ccc(n2c(c3c(C(CCN(CCN4C(=O)NCC4)C5)=C5)c2)ccc(Cl)c3)cc1,1,O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
hERG014,NCCC(c1c(c2c(c3c1)cc(Cl)cc3Cl)ccc(C(F)(F)F)c2)O,1,NCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
hERG015,Cc1n(CC2C(=O)c3c(n(C)c(c34)cccc4)CC2)ccn1,1,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
hERG016,CNCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2,1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
hERG017,CN(CCOC(c1c(C)cccc1)c2ccccc2)C,1,Cc1ccccc1C(OCCN(C)C)c1ccccc1
hERG018,CC(CN(C)C)CN1c(c2Sc(c13)cccc3)cc(C#N)cc2,1,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21
hERG019,O=C1N(Cc2ccccc2)CCC1N(Cc3n(Cc4ccc(C#N)cc4)cnc3)Cc5cnccc5,1,N#Cc1ccc(Cn2cncc2CN(Cc2cccnc2)C2CCN(Cc3ccccc3)C2=O)cc1
hERG020,CN(CCC(c1ncccc1)c2ccc(Br)cc2)C,1,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
hERG021,FC1C(c2c(c3[nH]c2C(Nc4ccccc4)=O)ccc(F)c3)CNCC1,1,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F
